308,強靭の指輪,1,;装備リセット時防御値増加
309,支配の指輪,1,;モンスターを仲間に
310,成長の指輪,1,;経験値増加
311,虚弱の指輪,1,;装備リセット時ペナルティ
312,鈍重の指輪,1,;後手になりやすく
313,死の指輪,1,;体力と気力の回復量減衰
314,衰弱の指輪,1,;基本攻撃値・基本防御値減少
315,洗脳の指輪,1,;即陥落＆従順増加
316,罠避けの指輪,1,;罠を高確率で避ける
317,侵攻の指輪,1,;侵攻速度が上昇する
318,結界の指輪,1,;必ずキャンプする
319,試練の指輪,1,;侵攻減速＆キャンプ禁止（結界より上位）
320,不幸の指輪,1,;罠回数増加＆罠避け無効化
;340以降は武器,,,
340,ソード,1,;攻撃値をそのままダメージとする装備
341,スタッフ,1,;ダメージが下がる代わりに気力が回復する装備
342,ウィップ,1,;ダメージが下がる代わりに防御力へのダメージが増加する装備
343,ダガー,1,;ダメージが下がる代わりに連続攻撃が可能な装備
344,シュリケン,1,;弾数のある限り連続攻撃が可能になる装備。弾が尽きるとダメージ低下
345,アロー,1,;弾数のあり限りダメージが強化される装備。弾が尽きると攻撃不可
346,メイス,1,;ミスする代わりにダメージが大きい装備
347,ハンマー,1,;よくミスする代わりにかなりダメージの大きい装備
348,サイズ,1,;ミスする代わりに気力が回復する装備
349,テンタクル,1,;気力が下がる代わりに、敵勇者の気力へのダメージが増える装備
350,レイピア,1,;連続攻撃が可能な装備、ダガーの上位互換
351,クレセントブレード,1,;ミスする代わりにダメージが大きい装備.。メイスの上位版
352,ナックル,1,;ダガーよりダメージが低く、ダガーより連続攻撃する
;400以降は消耗品,,,
400,薬草,1,;HP500回復
401,ポーション,1,;気力500回復
402,回復の杖,1,;HP200回復複数使用可能
403,精神の杖,1,;気力200回復複数使用可能
404,ちからのたね,1,;攻撃+1
405,まもりのたね,1,;防御+1
406,経験のコイン,1,;経験値+50
407,いのちのたね,1,;最大HP+10
408,こころのたね,1,;最大気力+5
409,経験の銀貨,1,;経験値+150
410,聖水,1,;寄生回復
411,堕落の宝石箱,1,;換金用
412,透明化の薬,1,;忍術相当の回避力UP
413,英雄の薬,1,;攻撃・防御・回避率UP
;500以降は施設,,,
500,商店街,1,;現金収入
501,沼地,1,;侵攻スピードを下げる
502,人間牧場,1,;肉便器の数に応じてもモンスターが増える
503,氷室,1,;攻撃力を下げる
504,熱砂,1,;防御力を下げる
505,迷宮,1,;侵攻スピードを下げる高級版
506,博物館,1,;石像の数に応じて士気を下げる
507,娼館街,1,;娼婦の奴隷が階層に留まるようになる。イベントも発生する
;550以降は追加罠,,,
;600以降は追加モンスター,,,
600,バーバリアン,1,
601,ジャイアントアント,1,
602,レッドオーク,1,
603,カニバルフラワー,1,
604,ゴリラ,1,
605,タトゥーガール,1,
606,エレファント,1,
607,レッドシャーマン,1,
608,トロールメイジ,1,
609,フォレストドラゴン,1,
